Index Doc1,Index Doc2,Sentence Doc1,Sentence Doc2,Similarity_TF,Similarity_Sem
0,0,"An FMI should effectively measure, monitor, and manage its liquidity risk; An FMI should maintain sufficient liquid resources in all relevant currencies to effect same-day and, where appropriate, intraday and multiday settlement of payment obligations with a high degree of confidence under a wide range of potential stress scenarios that should include, but not be limited to, the default of the participant and its affiliates that would generate the largest aggregate liquidity obligation for the FMI in extreme but plausible market conditions.","As proposed, Rule 17Ad-22(e)(7) would require a covered clearing agency to establish,
implement, maintain and enforce written policies and procedures reasonably designed to
effectively measure, monitor, and manage the liquidity risk that arises in or is borne by it, by
meeting, at a minimum, the ten requirements specified in the rule.",0.2710126568267469,0.9999998
0,1,"An FMI should effectively measure, monitor, and manage its liquidity risk; An FMI should maintain sufficient liquid resources in all relevant currencies to effect same-day and, where appropriate, intraday and multiday settlement of payment obligations with a high degree of confidence under a wide range of potential stress scenarios that should include, but not be limited to, the default of the participant and its affiliates that would generate the largest aggregate liquidity obligation for the FMI in extreme but plausible market conditions.","Proposed Rule 17Ad-22(e)(7)(i) would require that a covered clearing agency’s policies
and procedures be reasonably designed to ensure that it maintains sufficient liquid resources in
all relevant currencies to effect same-day and, where appropriate, intraday and multiday
settlement of payment obligations with a high degree of confidence under a wide range of
potential stress scenarios that includes the default of the participant family that would generate
the largest aggregate payment obligation for it in extreme but plausible market conditions.",0.6569653116851295,0.8262724
0,2,"An FMI should effectively measure, monitor, and manage its liquidity risk; An FMI should maintain sufficient liquid resources in all relevant currencies to effect same-day and, where appropriate, intraday and multiday settlement of payment obligations with a high degree of confidence under a wide range of potential stress scenarios that should include, but not be limited to, the default of the participant and its affiliates that would generate the largest aggregate liquidity obligation for the FMI in extreme but plausible market conditions.","Proposed Rule 17Ad-22(e)(7)(ii) would require a covered clearing agency to establish,
implement, maintain and enforce written policies and procedures reasonably designed to ensure
that it holds qualifying liquid resources sufficient to meet the minimum liquidity resource
requirement in each relevant currency for which the covered clearing agency has payment obligations owed to clearing members.",0.19476695394039883,0.8185465
0,5,"An FMI should effectively measure, monitor, and manage its liquidity risk; An FMI should maintain sufficient liquid resources in all relevant currencies to effect same-day and, where appropriate, intraday and multiday settlement of payment obligations with a high degree of confidence under a wide range of potential stress scenarios that should include, but not be limited to, the default of the participant and its affiliates that would generate the largest aggregate liquidity obligation for the FMI in extreme but plausible market conditions.","Proposed Rule 17Ad-22(e)(7)(iv) would require a covered clearing agency to establish,
implement, maintain and enforce written policies and procedures reasonably designed to ensure
it undertakes due diligence to confirm that it has a reasonable basis to believe each of its liquidity
providers, whether or not such liquidity provider is a clearing member, has sufficient information
to understand and manage the liquidity provider’s liquidity risks, and the capacity to perform as
required under its commitments to provide liquidity.",0.2115932092008401,0.7894199
0,6,"An FMI should effectively measure, monitor, and manage its liquidity risk; An FMI should maintain sufficient liquid resources in all relevant currencies to effect same-day and, where appropriate, intraday and multiday settlement of payment obligations with a high degree of confidence under a wide range of potential stress scenarios that should include, but not be limited to, the default of the participant and its affiliates that would generate the largest aggregate liquidity obligation for the FMI in extreme but plausible market conditions.","Proposed Rule 17Ad-22(e)(7)(v) would require a covered clearing agency to establish,
implement, maintain and enforce written policies and procedures reasonably designed to ensure
that the covered clearing agency maintains and, on at least an annual basis, tests with each
liquidity provider, to the extent practicable, its procedures and operational capacity for accessing
each type of relevant liquidity resource.",0.21324489290730322,0.78006846
0,7,"An FMI should effectively measure, monitor, and manage its liquidity risk; An FMI should maintain sufficient liquid resources in all relevant currencies to effect same-day and, where appropriate, intraday and multiday settlement of payment obligations with a high degree of confidence under a wide range of potential stress scenarios that should include, but not be limited to, the default of the participant and its affiliates that would generate the largest aggregate liquidity obligation for the FMI in extreme but plausible market conditions.","Proposed Rule 17Ad-22(e)(7)(vi)(A) through (C) would require a covered clearing
agency to establish, implement, maintain and enforce written policies and procedures reasonably
designed to determine the amount and regularly test the sufficiency of the liquid resources held
for purposes of meeting the minimum liquid resource requirement of proposed Rule 17Ad-
22(e)(7)(i) by (A) conducting a stress test of its liquidity resources at least once each day using
standard and predetermined parameters and assumptions; (B) conducting a comprehensive
analysis of the existing stress testing scenarios, models, and underlying parameters and
assumptions used in evaluating liquidity needs and resources, and considering modifications to
ensure they are appropriate for determining the covered clearing agency’s identified liquidity
needs and resources in light of current and evolving market conditions at least once each month;
and (C) conducting a comprehensive analysis of the existing stress testing scenarios, models, and
underlying parameters and assumptions used in evaluating liquidity needs and resources more
frequently when products cleared or markets served display high volatility or become less liquid,
when the size or concentration of positions held by participants increases significantly, or in
other circumstances described in the covered clearing agency’s policies and procedures;
Proposed Rule 17Ad-22(e)(7)(vi)(D) would also require a covered clearing agency to establish,
implement, maintain and enforce written policies and procedures reasonably designed to result in
reporting the results of the analyses performed under proposed Rule 17Ad-22(e)(7)(vi)(B) and
(C) to appropriate decision makers, including the risk management committee or board of
directors, at the covered clearing agency for use in evaluating the adequacy of and adjusting its
liquidity risk management framework.",0.3051387054567374,0.8560015
0,8,"An FMI should effectively measure, monitor, and manage its liquidity risk; An FMI should maintain sufficient liquid resources in all relevant currencies to effect same-day and, where appropriate, intraday and multiday settlement of payment obligations with a high degree of confidence under a wide range of potential stress scenarios that should include, but not be limited to, the default of the participant and its affiliates that would generate the largest aggregate liquidity obligation for the FMI in extreme but plausible market conditions.","Proposed Rule 17Ad-22(e)(7)(vii) would require a covered clearing agency to establish,
implement, maintain and enforce written policies and procedures reasonably designed to result in
performing an annual or more frequent conforming model validation of its liquidity risk
models.",0.15891493930446554,0.74401957
0,9,"An FMI should effectively measure, monitor, and manage its liquidity risk; An FMI should maintain sufficient liquid resources in all relevant currencies to effect same-day and, where appropriate, intraday and multiday settlement of payment obligations with a high degree of confidence under a wide range of potential stress scenarios that should include, but not be limited to, the default of the participant and its affiliates that would generate the largest aggregate liquidity obligation for the FMI in extreme but plausible market conditions.","Proposed Rule 17Ad-22(e)(7)(viii) would require a covered clearing agency to establish,
implement, maintain and enforce written policies and procedures reasonably designed to address
foreseeable liquidity shortfalls that would not be covered by its liquid resources and seek to
avoid unwinding, revoking, or delaying the same-day settlement of payment obligations.",0.2535717145137986,0.79547065
0,10,"An FMI should effectively measure, monitor, and manage its liquidity risk; An FMI should maintain sufficient liquid resources in all relevant currencies to effect same-day and, where appropriate, intraday and multiday settlement of payment obligations with a high degree of confidence under a wide range of potential stress scenarios that should include, but not be limited to, the default of the participant and its affiliates that would generate the largest aggregate liquidity obligation for the FMI in extreme but plausible market conditions.","Proposed Rule 17Ad-22(e)(7)(ix) would require a covered clearing agency to establish,
implement, maintain and enforce written policies and procedures reasonably designed to describe
its process for replenishing any liquid resources that it may employ during a stress event.",0.13310311347542114,0.88568926
0,11,"An FMI should effectively measure, monitor, and manage its liquidity risk; An FMI should maintain sufficient liquid resources in all relevant currencies to effect same-day and, where appropriate, intraday and multiday settlement of payment obligations with a high degree of confidence under a wide range of potential stress scenarios that should include, but not be limited to, the default of the participant and its affiliates that would generate the largest aggregate liquidity obligation for the FMI in extreme but plausible market conditions.","Finally, proposed Rule 17Ad-22(e)(7)(x) would require a covered clearing agency to
establish, implement, maintain and enforce written policies and procedures reasonably designed
to ensure that it, at least once a year, evaluates the feasibility of maintaining sufficient liquid
resources at a minimum in all relevant currencies to effect same-day and, where appropriate,
intraday and multiday settlement of payment obligations with a high degree of confidence under
a wide range of foreseeable stress scenarios that includes, but is not limited to, the default of the
two participant families that would potentially cause the largest aggregate payment obligation for
the covered clearing agency in extreme but plausible market conditions if the covered clearing
agency provides CCP services and is either systemically important in multiple jurisdictions or a
clearing agency involved in activities with a more complex risk profile",0.5211976916670723,0.5024459
